,,71,,,,60.71,,,,72.52,,,,,,,,74.52,,,,77.55,,,,72.62,,,,86.31,,,,64.98,,,,75.21,,,,72.93,,,,100,,,,77.55,,,100,93.5,,,97.5,92.92,,,,76.6,,,,84.83,,,,96.67,,,,91.89,,,,95,
,,,"""28.38 76.98""",,,,"""73.71 45.71""",,,,"""74.40 69.52""",,,,"""73.28 37.98 60.21""",,,,"""75.17 37.52""",,,,"""69.05 45.03""",,,,"""59.12 75.52""",,,,"""82.41 41.04 78.79""",,,,"""29.32 77.46""",,,,"""33.34 53.01 68.15""",,,,"""76.26 65.71""",,,,"""79.95 74.49 59.21""",,,,"""79.23 70.19 81.09 25.00""",,,,"""83.40 65.90 100.00 72.00""",,,,"""82.81 87.64""",,,,"""77.14 66.36 77.91""",,,,"""82.31 75.41""",,,,"""69.77 76.81 100.00""",,,,"""79.00 85.42""",,,,"""84.00 94.40 73.00 86.00"""
,70.14,,,,,77.4,,,74.77,,,,,78.79,,,,91.52,,,65.8,,,,,89.13,,,71.35,,,,,74.27,,,65.58,,,,,68.08,,,66.37,74.02,,,,77.32,,,,87.13,,,,90.6,,,,94.31,,,,91.27,,,88.59,,,,,94.34,,,"""89.03 100.00""",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.55,,,83.49,,,,,82.14,,,89.09,,,,,87.43,,,49.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,,,,,95.83,,,93.78,,,,89.69,84.87,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.13,,,,80.26,,,"""56.00 79.54""","""80.95 55.95""",,,,88.94,,,82.39,,,,,80.86,,,72.93,,,,,81.13,,,"""93.88 85.34""",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.21,,,82.49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.77,,,,76.21,,,,98.83,70.71,,,,,,,90.75
,,,,,52.34,68.89,,,,,,,73.15,76.05,,,64.34,81.81,,,,81.61,,,,77.45,,,,"""67.13 69.49""",,,60.46,79.77,,,,74.47,,,,75.27,,,,71.09,,,,69.3,,,,84.34,,,,,,,,91.95,,,,88.96,,,,91.73,,,87.91,,,,,89.25,
,,,,,,,,,,,,,,,,,,,,,,,,,74.09,,,,70.23,,,,66.53,,,,71.91,,,,"""47.01 50.23 77.27""",,,,66.81,,,,"""68.45 75.00""",,,,88.5,83.4,,,90.7,,,,,83.58,,,87.36,88.5,,,,74.19,,,87.46,91.75,,,,79.34,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.01,,,,95.75,,,,"""93.98 91.07""",,,,95.81,,,91.58,94.83,,,,95.15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.78,,,,97.2,,,,96.34,,,"""97.21 97.14""",97.71,,,,92,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,,,,"""99.69 85.36""",,,,"""84.73 88.10""",,,,"""94.54 78.17""",,,,"""91.23 87.32""",,,,"""96.95 96.04""",,,,"""93.67 95.00""",,,,"""95.80 97.34""",,,,"""96.00 94.76""",,,,"""99.67 94.29""",,,,"""97.20 94.50 91.21""",,,,"""90.00 95.67 76.67""",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.46,,,,74.66,,,,90.55,90.86,,,95.38,,,,82.45,88.8,,,92.04,,,,,94.25,,,95.63,,,,,93.14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.73,,,,"""93.05 80.75""",,,,"""92.50 86.00""","""82.92 85.57""",,,,"""86.39 88.06""",,,,"""85.41 87.57""",,,
,,,65.73,71.45,,,,,,,82.34,,,,95.24,67.6,,,,,,,88.84,76.19,,,87.97,,,,94.19,,,,,,,,82.6,69.94,,,,,,,"""75.96 81.28""",,,,89.88,,,,87.43,,,,72.18,,,,"""86.50 93.78""",,,,92.14,95,,,,87,,,,,,,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""93.92 90.02""",,,,,,,,"""89.34 82.88""",,,,95.36,,,,"""100.00 92.27""",
,56.34,,,,,80.95,,,,53.4,,,70.39,,,,72.97,,,,68.9,,,,67.32,68.78,,,,,,,55.36,"""76.98 77.08""",,,70.35,,,,,66.71,,,41.28,,,,,,,,76.85,,,,62.32,,,,,91.8,,,85.76,,,,"""68.86 100.00""",87.68,,,,,,,68.94,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.13,,,,93.54,,,,65.03,,,,84.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8,,,,85.68,,,,87.73,,,,86.93,,,,"""89.66 88.88""",,,,79.78,,,,93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.68,,,,"""82.00 88.50"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.29,,,100,,
,,,,,,70.83,,,,90.48,,,,"""81.75 74.18""",,,,"""95.35 74.40""",,,,"""91.21 73.21""",,,,57.87,,,,"""82.14 47.08""",,,,"""67.68 63.29""",,,,76.61,,,,"""63.34 78.89""",,,,"""65.30 80.68""",,,,66.28,,,,"""86.89 90.00 86.05""",,,,95.8,,,,"""87.82 90.40""",,,,"""88.83 79.02""",,,,89.43,,,,"""91.00 61.00 93.17""",,,,96,
,,,,,,,,,,,,,,,,,,,,,,"""73.30 87.90""",,,,,,,,,,,,,,,,72.7,,,,78.08,,,,"""86.34 84.70""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04,,,,93.59,,,,91.47,93.85,,,,"""88.55 87.58""",,,,,,,92.79,,,,98.5
,,,,,52.62,,,,,,,,55.78,,,,,,,,,,,52.25,,,,,,,,58.01,,,,,,,,,,73.72,,,,,,,,73.79,,,,,,,,85.8,,,,,,,89.27,,,,,,,,91.27,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.62,,,,,62.83,,,55.31,,,,,62.63,,,67.97,,,,,69.86,,,84.87,,,,,85.07,,,86.84,,,,,86.52,,,86.7,,,,,87.92,,,95.25,,
69.34,,,,,,,76.41,,,,79.37,,,,,,,,83.01,,,,,,,,76.13,,,,,,,,83.17,,,,75.49,,,,68.41,,,,"""67.25 76.45 70.48""",,,,66.45,,,,78.66,,,,92.36,,,,,,,,94.95,,,,95.4,93.66,,,,,,,98.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""92.29 95.00""",,,,"""98.50 95.60""",,,,98.14,,,,"""97.83 97.00""",,,,"""95.86 93.90""",,,,97.67
,,,72.19,,,,68.13,,,,51.9,43.03,,,,,,,65.86,62.84,,,,,,,81.52,,,,65.98,,,,,,,,,,,,76.88,,,,67.83,,,,72.28,,,,85.06,,,,93.1,,,,91.89,,,,89.57,,,,92.62,,,,79.69,,,,94.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,,,"""86.12 83.14""",86.5,,,,95,,,88.79,,,,,98.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.98,,,"""89.38 89.31""",98.67,,,,"""91.00 94.00""",,,"""94.80 90.00""",92.34,,,,"""93.89 97.09""",,,,"""85.29 89.50""",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.34,61.64,,,,68.47,,,,66.28,,,,83.52,,,78.97,,,,,76.8,,,73.62,,,,,86.82,,,,77.98,,,,90.2,
