"","x","y"
"1",-9.90494747646153,-14.1177963744809
"2",-8.77885738387704,-3.96333156755531
"3",-8.26571085024625,-9.28061279469015
"4",-8.05904449895024,139
"5",-8.05072025861591,-1.26006776370579
"6",-7.42344597354531,0.884806883609699
"7",-7.36033653840423,-1.98433643821003
"8",-4.92859842255712,-1.60431254059797
"9",-3.23224457912147,4.73150926905619
"10",-2.80696134548634,15.4171579099019
"11",-1.93525012582541,13.5959961557465
"12",-1.31073096301407,9.00027153954861
"13",-1.24661188106984,136
"14",-1.07625057455152,13.3606866147416
"15",-0.772197861224413,13.3669504128432
"16",1.26719271298498,20.6200489460542
"17",1.43320219125599,18.5972687467613
"18",1.94401040673256,18.9681032590337
"19",2.07391356118023,21.2918835336387
"20",2.16906746383756,32.6738762846336
"21",2.4993498949334,22.2146846586707
"22",3.79071216564626,24.7705967752493
"23",4.50017975177616,25.4274169793098
"24",4.61960054002702,23.610984990176
"25",5.04194210283458,28.5355309452345
"26",5.34324603620917,37.1912851936262
"27",5.8429851103574,27.2117541608974
"28",7.8277980722487,47.0477603031238
"29",8.99739682674408,47.4105497806041
"30",9.50393175706267,45.6659809153707
